law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
"Bever Dye, LC",http://www.beverdye.com,,https://www.martindale.com/by-location/kansas-lawyers/,Salina,KS,Saline,316-241-3926,,General,,,Salina,4
Blackwell & Struble LLC,http://www.blackwellstrublellc.com/,https://www.google.com/maps/place/?q=place_id:ChIJ8emxjPPFvIcRQ_wEa7C3zqk,,Salina,KS,Saline,(785) 823-5273,aburris@bbsc.kscoxmail.com,General,400 E Iron Ave,67401,Salina,4
"Brown & Vogel, LLC",,https://www.google.com/maps/place/?q=place_id:ChIJ5agq08jFvIcRRu6FvzEFdo0,,Salina,KS,Saline,(785) 859-4612,,Estate Planning,2035 E Iron Ave #101,67401,Salina,4
Bruce H. Wyatt Law Office,,,,Salina,KS,Saline,785-493-1825,,General,4477 W State St,67401,Salina,4
"CAD Law, LC",http://www.cadlawlc.com/,https://www.google.com/maps/place/?q=place_id:ChIJcW61TBfGvIcRQ9xKVh5Egj8,,Salina,KS,Saline,(785) 407-9128,stephanie@cadlawlc.com,"Criminal Defense, Personal Injury",207 W Ash St,67401,Salina,5
"Cheryl R Meier, JD",https://cheryllaw.com/,,,SALINA,KS,Saline,785-827-0790,,Family Law,3191 S SIMPSON RD,67401-9153,Salina,4
Clark Mize & Linville,https://www.cml-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJp8Hy-fXFvIcRvBAir5roFxs,,Salina,KS,Saline,(785) 823-6325,,Workers' Compensation,129 S 8th St,67401,Salina,5
"Dahlstrom Law Office, LLC",https://www.dahlstromlawoffice.com,,,Salina,KS,Saline,785-447-1966,dahlstromlawoffice@gmail.com,General Practice,PO Box 311,67402,Salina,4
"Daniel K. Diederich, Attorney at Law",http://danielkdiederichlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ5agq08jFvIcRa2OIUCmNPWg,,Salina,KS,Saline,(785) 826-9250,kim@dkdiederichlaw.com,Estate Planning,122 N Santa Fe Ave B,67401,Salina,2
Daniel Parmele,http://parmelelawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJ88rtkZ_IvIcRxaCr1ki_s_c,,Salina,KS,Saline,(785) 825-4100,usdc@danielparmelelaw.com,Social Security Disability,2304 Planet Ave,67401,Salina,1
